Mode,NLC,ASC,Station,Coverage,Source,Weekday (Mon-Thu) - Entries,Friday - Entries,Saturday - Entries,Sunday - Entries,Weekday (Mon-Thu) - Exits,Firday - Exits,Saturday - Exits,Sunday - Exits,En/Ex
LO,709,SKTu,South Kenton,LO boarding / alighting,Scaled,421,447,358,531,694,694,484,567,"284,940"
LO,7404,STOr,South Tottenham,Station entry / exit,Gateline,"1,986","1,974","1,394","1,054","2,053","2,092","1,451","1,011","950,085"
LO,6947,SBUr,Southbury,Station entry / exit,Gateline,"1,443","1,432","1,024",733,"1,525","1,454","1,046",795,"693,974"
LO,6973,SJSr,St James Street,Station entry / exit,Gateline,"1,845","1,892","1,678","1,049","1,829","1,792","1,522","1,016","893,897"
LO,6968,SMHr,Stamford Hill,Station entry / exit,Scaled,"1,507","1,542","1,013",801,"1,475","1,477",883,739,"695,033"
LO,6934,SKWr,Stoke Newington,Station entry / exit,Manual Count,"2,519","2,423","2,043","1,449","2,395","2,222","1,895","1,438","1,176,525"
LO,717,SPKu,Stonebridge Park,LO boarding / alighting,Scaled,"1,036","1,012",422,287,"1,027",985,406,277,"440,025"
LO,719,SFDu,Stratford,LO boarding / alighting,Loadweigh,"20,080","20,730","24,687","25,297","19,124","19,038","23,061","24,595","11,121,978"
LO,1083,SQEr,Surrey Quays,Station entry / exit,Gateline,"6,214","6,702","6,031","3,561","5,547","5,840","5,361","3,233","2,939,844"
LO,5437,SYDr,Sydenham,LO boarding / alighting,Scaled,"2,701","2,674","2,623","1,680","3,274","3,250","2,478","1,932","1,456,686"
LO,6949,TEOr,Theobalds Grove,Station entry / exit,Gateline,"1,060",995,630,609,963,885,568,565,"466,660"
LO,6952,TURr,Turkey Street,Station entry / exit,Gateline,"1,539","1,493",917,711,"1,425","1,323",781,676,"671,342"
LO,736,UPMu,Upminster,LO boarding / alighting,Scaled,718,699,488,185,710,680,442,223,"318,551"
LO,1524,UHLr,Upper Holloway,Station entry / exit,Manual Count,"2,431","2,419","1,754","1,181","2,540","2,760","1,796","1,158","1,169,992"
LO,742,WALu,Walthamstow Central,LO boarding / alighting,Scaled,"5,555","5,663","4,941","3,340","4,844","4,755","6,580","4,612","2,702,322"
LO,7407,WMWr,Walthamstow Queen's Road,Station entry / exit,Scaled,"1,755","1,747","1,398",810,"1,673","1,682","2,458","1,403","877,303"
LO,5372,WWRr,Wandsworth Road,Station entry / exit,Scaled,988,679,874,553,979,674,833,563,"455,293"
LO,7408,WNPr,Wanstead Park,Station entry / exit,Gateline,"1,915","1,925","1,544",875,"1,849","1,825","1,459",878,"890,743"
LO,1085,WPEr,Wapping,Station entry / exit,Gateline,"2,670","2,912","2,963","1,805","2,521","2,623","2,666","1,739","1,340,834"
LO,1455,WFHr,Watford High Street,Station entry / exit,Gateline,"1,926","2,026","2,224","1,213","1,784","1,971","2,245","1,179","971,404"
LO,1402,WFJr,Watford Junction,LO boarding / alighting,Scaled,"2,006","2,144","2,709","2,239","2,044","2,028","2,547","2,171","1,135,592"
LO,751,WEMu,Wembley Central,LO boarding / alighting,Scaled,"1,929","1,624","2,346","1,376","2,045","1,772","2,012","1,133","988,833"
LO,755,WBTu,West Brompton,LO boarding / alighting,Scaled,"4,118","3,987","3,847","2,804","4,198","4,175","4,123","2,723","2,076,216"
LO,5411,WCYr,West Croydon NR,LO boarding / alighting,Loadweigh,"4,328","4,241","5,728","4,099","4,066","4,004","5,195","3,845","2,293,962"
LO,1421,WHDr,West Hampstead LO,Station entry / exit,Gateline,"6,484","6,610","5,506","3,513","6,437","6,451","5,268","3,437","3,117,437"
LO,6956,WHLr,White Hart Lane,Station entry / exit,Gateline,"2,605","2,721","1,725","1,098","2,417","2,495","1,528","1,066","1,161,269"
LO,763,WCLu,Whitechapel,LO boarding / alighting,Scaled,"15,504","14,294","12,860","11,771","15,153","13,862","13,063","11,939","7,576,025"
LO,766,WJNu,Willesden Junction,LO boarding / alighting,Scaled,"13,108","11,843","8,556","3,795","14,327","12,502","9,497","4,768","6,074,653"
LO,6954,WSTr,Wood Street,Station entry / exit,Scaled,"2,802","2,543","2,017","1,439","2,542","2,225","1,771","1,491","1,242,080"
LO,7467,WGRr,Woodgrange Park,Station entry / exit,Gateline,"1,392","1,382","1,098",696,"1,289","1,246",948,622,"631,946"
DLR,750,ABRd,Abbey Road,Station entry / exit,APC,"1,658","1,665","1,326","1,012","1,625","1,625","1,332","1,039","796,342"
DLR,850,ALSd,All Saints,Station entry / exit,APC,"2,323","2,418","2,007","1,434","2,301","2,348","1,916","1,413","1,131,935"
DLR,513,BNKu,Bank and Monument,DLR boarding / alighting,Manual Count,"24,937","21,964","17,643","13,154","29,125","25,589","21,435","14,979","12,475,324"
DLR,895,BECd,Beckton,Station entry / exit,APC,"2,893","2,808","2,078","1,509","2,987","2,881","2,140","1,508","1,373,476"
DLR,891,BEPd,Beckton Park,Station entry / exit,Manual Count,623,601,460,312,610,574,420,332,"287,548"
DLR,882,BLAd,Blackwall,Station entry / exit,APC,"2,150","2,188","1,700","1,199","2,475","2,366","1,815","1,361","1,097,865"
DLR,851,BOCd,Bow Church,Station entry / exit,Manual Count,"3,402","3,410","3,389","1,913","3,273","3,300","3,375","1,851","1,655,934"
DLR,842,CAWd,Canary Wharf DLR,Station entry / exit,APC,"13,542","12,244","10,457","7,488","14,682","13,633","11,411","7,918","6,634,865"
DLR,884,CNTu,Canning Town,DLR boarding / alighting,APC,"28,205","27,143","26,795","19,506","26,478","25,942","25,307","18,018","13,622,168"
DLR,854,CROd,Crossharbour,Station entry / exit,APC,"4,640","4,809","4,119","2,892","4,582","4,591","3,860","2,831","2,260,969"
DLR,887,CUHd,Custom House,Station entry / exit,APC,"4,675","3,311","3,710","2,146","4,650","3,013","3,442","1,881","2,065,445"
DLR,879,CUSd,Cutty Sark,Station entry / exit,APC,"7,442","7,580","8,197","6,026","7,774","7,650","7,783","5,930","3,920,658"
DLR,893,CYPd,Cyprus,Station entry / exit,APC,"2,856","1,963",930,732,"2,898","1,876",914,781,"1,138,664"
DLR,897,DEBd,Deptford Bridge,Station entry / exit,Manual Count,"3,485","3,695","3,503","2,439","3,468","3,658","3,453","2,313","1,766,459"
DLR,867,DERd,Devons Road,Station entry / exit,APC,"3,026","3,079","2,514","1,864","2,947","2,855","2,371","1,832","1,447,472"
DLR,883,EAId,East India,Station entry / exit,APC,"5,373","5,204","3,652","2,630","4,787","4,526","3,079","2,177","2,333,112"
DLR,898,ELRd,Elverson Road,Station entry / exit,APC,"1,905","1,960","1,637","1,216","1,709","1,683","1,398","1,128","884,912"
DLR,894,GARd,Gallions Reach,Station entry / exit,APC,"2,185","2,132","1,938","1,393","2,322","2,162","1,942","1,475","1,095,624"
DLR,928,GREd,Greenwich,DLR boarding / alighting,APC,"5,140","5,489","5,281","3,748","5,363","5,736","5,911","4,127","2,725,047"
DLR,855,HEQd,Heron Quays,Station entry / exit,APC,"7,886","7,202","6,473","4,973","8,157","7,649","6,872","5,024","3,857,998"
DLR,856,ISGd,Island Gardens,Station entry / exit,APC,"3,162","3,290","2,989","2,098","2,941","2,901","2,577","1,913","1,514,372"
DLR,523,KGVd,King George V,Station entry / exit,APC,"2,635","2,644","1,866","1,324","2,672","2,614","1,806","1,359","1,237,801"
DLR,853,LAPd,Langdon Park,Station entry / exit,APC,"5,998","6,023","5,006","3,856","5,337","5,395","4,444","3,395","2,768,650"
DLR,940,LEWd,Lewisham DLR,Station entry / exit,APC,"9,662","9,682","8,037","5,691","9,851","9,680","7,877","5,718","4,701,185"
DLR,862,LIMd,Limehouse DLR,Station entry / exit,APC,"8,284","8,531","6,192","4,239","11,989","12,314","8,670","6,288","4,798,610"
DLR,533,LCAd,London City Airport,Station entry / exit,APC,"3,629","3,767","1,490","2,237","3,311","3,792","1,329","2,114","1,601,328"
